"Index" "Temp" "Prec" "WLev"
"1988-12-01" 8.39 423.9 89.4
"1989-12-01" 8.1 462.3 91.8
"1990-12-01" 10.2 396 83.7
"1991-12-01" 7.01 490.8 86.3
"1992-12-01" 9.62 436.2 86.9
"1993-12-01" 5.55 415.5 82
"1994-12-01" 11.68 439.8 93.5
"1995-12-01" 7.42 570 101.2
"1996-12-01" 6.08 584.7 105
"1997-12-01" 6.89 452.4 96.8
"1998-12-01" 9.04 560.1 106.3
"1999-12-01" 8.68 619.8 104.9
"2000-12-01" 9.47 350.4 84.7
"2001-12-01" 9.51 461.7 72
"2002-12-01" 8.45 476.7 58.4
"2003-12-01" 9.63 342 47.2
"2004-12-01" 8.56 521.4 63.1
"2005-12-01" 6.88 542.7 96.2
"2006-12-01" 7.15 483.6 106
"2007-12-01" 7.84 504.3 100.9
"2008-12-01" 9.83 431.1 98.5
"2009-12-01" 8.69 486.6 94.9
"2010-12-01" 8.68 657 113.6
"2011-12-01" 7.55 309 94.7
"2012-12-01" 9.48 399 64.5
"2013-12-01" 7.94 574.5 95.5
"2014-12-01" 9.03 689.1 121.3
"2015-12-01" 7.9 439.2 108
"2016-12-01" 9.39 552 119.4
"2017-12-01" 9.36 509.4 106.1
"2018-12-01" 8.32 547.2 120.6
